Horodateur,Matricule,20/06 AM,20/06 PM,21/06 AM,21/06 PM,22/06 AM,22/06 PM,23/06 AM,23/06 PM,24/06 AM,24/06 PM,25/06 AM,25/06 PM,27/06 AM,27/06 PM,28/06 AM,28/06 PM,29/06 AM,29/06 PM,30/06 AM,30/06 PM,01/07 AM,01/07 PM,02/07 AM,02/07 PM
25/03/2022 21:06:17,540600,1,1,1,2,10,10,10,10,10,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1
26/03/2022 09:57:16,540669,1,1,1,1,2,2,3,3,10,10,10,10,7,7,7,7,6,6,6,6,1,1,1,1
28/03/2022 20:43:40,540670,7,2,7,2,7,2,8,3,8,3,8,2,10,4,7,2,3,1,3,1,1,1,1,1
24/03/2022 17:35:21,540674,1,1,1,1,1,1,1,1,2,8,5,10,5,6,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:03:18,540675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,7,10,10,10,10
30/03/2022 14:46:30,540727,1,1,1,1,1,1,1,1,5,5,5,5,8,8,8,8,8,8,10,10,10,10,10,10
26/03/2022 20:05:44,540737,1,1,1,1,10,10,10,10,10,10,10,10,5,4,3,2,1,1,1,1,1,1,1,1
04/04/2022 13:11:55,540742,1,1,1,1,1,1,6,6,7,7,10,10,6,6,6,6,6,1,1,1,1,1,1,1
24/03/2022 23:36:01,540779,1,1,1,10,10,10,10,10,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1
24/03/2022 17:51:03,540783,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,1,1,1,1,1,1,1,1
27/03/2022 14:51:35,540795,5,5,6,6,8,7,9,8,10,10,10,10,10,10,10,10,9,9,7,7,5,5,4,4
28/03/2022 18:07:53,540836,1,1,1,1,2,2,7,7,10,10,10,10,8,8,5,5,1,1,1,1,1,1,1,1
21/04/2022 21:28:25,540840,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,6,1,10,10,10,10,10,10
30/03/2022 13:20:33,540846,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2
25/03/2022 20:58:35,540851,4,3,1,3,1,3,3,4,3,4,6,7,7,8,7,8,8,9,8,9,9,10,9,10
25/03/2022 09:10:39,540995,10,10,10,10,8,8,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26/03/2022 15:08:25,543802,1,1,1,1,1,1,1,1,1,1,3,3,10,10,1,1,1,1,1,1,1,1,1,1
24/03/2022 16:07:17,543935,1,1,1,1,1,1,1,1,1,1,6,6,10,10,6,6,5,5,4,4,3,3,2,2
12/04/2022 09:36:01,543938,1,1,1,1,3,5,4,6,4,7,4,10,4,8,3,6,3,5,1,1,1,1,1,1
25/03/2022 09:50:46,544129,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,8,7,8,8,10,10,10,10
25/03/2022 09:29:13,544250,5,5,7,7,9,8,8,8,7,7,1,1,5,4,5,5,5,5,1,2,2,2,1,1
27/03/2022 14:40:54,544825,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,1,1
30/03/2022 18:12:29,546864,1,1,1,10,1,10,1,10,1,10,1,10,1,10,1,1,1,1,1,1,1,1,1,1
23/04/2022 16:30:59,547804,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,1,10,10,1,1,1,1,1,1
26/03/2022 16:02:06,547834,1,1,1,1,1,1,1,1,1,5,8,5,10,6,10,6,10,6,9,5,7,3,5,2
04/04/2022 10:20:44,548097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,1,1,1,1,1
29/03/2022 14:37:44,548933,1,1,1,1,1,1,1,1,1,1,1,1,10,10,3,3,3,3,1,1,1,1,1,1
24/03/2022 16:22:09,549238,10,4,10,4,10,2,10,2,10,2,10,2,10,2,10,2,10,2,10,2,9,2,9,2
25/03/2022 12:32:59,549414,3,3,3,3,3,3,3,3,3,3,3,3,5,5,6,6,8,8,3,3,4,4,3,3
24/03/2022 16:14:15,549556,1,1,1,1,7,7,10,10,10,10,7,7,1,1,1,1,1,1,1,1,1,1,1,1
30/03/2022 16:39:08,549614,1,1,1,1,1,1,1,1,1,1,7,6,5,7,6,8,7,9,9,8,9,8,7,7
24/03/2022 17:01:15,549769,1,1,1,1,9,10,9,10,9,10,9,10,7,7,6,6,9,6,6,6,6,6,6,6
24/03/2022 16:21:18,550739,1,1,1,1,1,1,1,1,4,5,10,8,7,6,1,1,1,1,1,1,1,1,1,1
