Timestamp,Matricule,10/01 AM,10/01 PM,11/01 AM,11/01 PM,12/01 AM,14/01 PM,15/01 AM,15/01 PM,17/01 AM,17/01 PM,18/01 PM,19/01 AM,19/01 PM,20/01 AM,22/01 PM,25/01 PM,26/01 AM,26/01 PM,27/01 AM,29/01 AM,29/01 PM
11/30/2021 20:01:09,000494506,2,2,1,1,1,3,8,8,2,2,1,2,2,1,1,1,3,3,7,10,10
11/30/2021 20:19:09,000479154,1,1,1,1,1,1,1,1,7,9,10,8,9,7,8,8,3,2,1,1,1
11/30/2021 21:19:51,000494515,1,4,1,1,1,1,1,1,9,9,10,4,3,1,1,1,6,6,4,1,1
11/30/2021 21:24:21,000499870,1,2,2,2,2,7,6,6,9,10,8,7,1,3,3,3,3,3,2,2,1
11/30/2021 22:50:19,000494462,6,6,4,3,1,1,5,6,10,9,10,8,7,1,2,1,1,2,1,1,2
12/1/2021 0:17:57,475026,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/1/2021 11:14:04,475004,1,1,3,3,3,1,6,6,10,10,10,10,10,10,7,1,1,1,1,9,9
12/1/2021 12:14:30,475045,1,1,2,2,1,5,9,9,5,5,7,9,9,1,4,1,1,1,2,9,10
12/1/2021 13:38:27,000440817,1,1,1,1,1,10,10,10,1,1,2,1,1,7,5,1,1,1,1,1,1
12/1/2021 13:53:12,493954,1,1,1,1,1,1,1,5,10,10,5,10,10,7,10,7,4,4,3,1,1
12/1/2021 15:26:53,000493926,4,2,1,1,1,3,10,10,10,10,1,7,5,1,1,1,4,3,1,1,1
12/1/2021 17:58:22,000494229,10,10,9,9,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1
12/1/2021 18:06:05,000494319,10,10,3,3,1,1,8,5,7,3,3,2,1,1,1,7,5,5,1,5,7
12/2/2021 10:42:02,000446670,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1,1,1,10,10
12/2/2021 10:56:35,473828,1,1,1,1,1,3,6,7,8,8,10,1,1,1,1,1,1,1,1,1,1
12/2/2021 14:14:02,475619,9,8,2,1,1,3,5,5,1,1,1,1,1,1,1,1,2,3,8,10,10
12/2/2021 14:20:08,000494311,10,9,8,2,5,4,8,10,8,9,9,9,8,6,7,8,7,7,4,5,6
12/2/2021 16:00:47,000493226,1,1,1,1,1,3,4,9,10,4,8,5,3,1,1,1,2,2,2,1,1
12/2/2021 16:20:27,000513924,8,5,8,5,8,5,8,5,8,5,8,8,8,8,8,8,8,8,8,8,8
12/2/2021 18:59:06,474371,1,1,1,1,1,1,2,2,10,10,10,2,1,1,1,1,1,1,1,1,1
12/2/2021 19:02:22,494382,1,1,1,1,1,5,10,10,10,10,5,2,2,2,2,2,2,2,2,2,2
12/2/2021 19:08:20,000495044,4,4,1,1,1,1,1,2,9,10,10,6,5,1,1,1,1,1,1,1,3
12/2/2021 19:21:42,499351,2,1,1,1,1,5,10,10,8,1,7,2,1,1,1,1,1,1,1,3,7
12/2/2021 19:26:08,000474810,1,1,1,1,1,1,10,10,10,10,10,10,10,5,1,1,1,1,1,1,1
12/2/2021 19:57:46,000464332,10,10,3,3,1,4,4,4,3,3,2,1,1,2,2,2,7,7,2,9,10
12/2/2021 21:08:19,000493384,2,2,1,1,1,1,5,8,10,10,10,9,4,1,1,4,7,4,1,3,6
12/2/2021 22:13:18,487447,6,7,5,3,1,1,2,3,8,10,10,6,1,1,1,1,1,1,1,1,1
12/2/2021 22:38:36,000494730,1,1,1,1,1,1,1,1,1,2,10,8,5,1,1,4,1,1,1,1,1
12/3/2021 11:19:24,474919,1,1,1,1,1,1,10,10,8,8,8,1,1,1,1,1,1,1,1,1,5
12/3/2021 12:42:53,494453,6,4,1,1,1,1,3,8,10,10,7,1,1,1,1,2,1,1,1,1,1
12/3/2021 14:10:13,478066,10,10,1,1,1,1,1,1,10,10,10,7,3,1,7,4,4,4,4,4,4
12/3/2021 14:21:32,493237,5,5,5,5,1,2,6,7,1,4,10,10,10,1,5,6,8,7,1,4,5
12/3/2021 14:31:07,464241,1,1,1,1,10,10,7,7,1,1,1,1,1,1,2,1,6,6,1,1,1
12/3/2021 15:58:52,000474749,1,1,1,1,1,3,6,7,10,10,10,5,1,1,1,1,1,1,4,4,4
12/3/2021 16:02:25,474189,1,1,1,1,1,2,2,2,3,3,3,3,4,6,9,10,10,9,9,8,7
12/3/2021 16:20:25,000459924,1,1,1,1,1,2,1,2,1,1,1,1,2,2,7,9,4,8,6,5,6
12/3/2021 16:36:35,000475555,10,10,10,10,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
12/3/2021 17:17:05,000494480,1,1,2,3,2,7,9,10,2,1,4,1,1,5,9,10,9,8,8,5,6
12/3/2021 18:03:06,000459620,7,7,1,1,1,6,10,10,10,7,8,2,2,1,1,3,9,6,1,1,4
12/3/2021 19:44:11,475629,2,4,1,3,1,1,1,1,10,10,10,1,2,1,1,3,1,1,1,1,10
12/3/2021 19:55:31,481761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,10
12/3/2021 19:56:57,000482587,6,3,1,1,1,1,1,1,3,4,6,1,1,2,10,1,1,1,1,1,1
12/3/2021 21:13:24,493194,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,10,10
12/3/2021 22:00:28,474928,9,10,3,4,1,4,8,10,5,5,7,8,9,1,1,2,8,9,3,3,7
12/3/2021 22:12:00,000494375,4,4,3,3,2,3,4,4,10,10,10,6,5,1,1,3,9,8,3,6,7
12/3/2021 23:06:26,494464,7,6,1,1,1,1,2,3,10,10,5,3,3,1,1,1,2,2,1,1,1
12/4/2021 0:02:34,493634,1,8,5,10,1,10,5,10,3,5,1,1,1,3,5,6,5,6,3,2,2
12/4/2021 0:42:03,000493742,1,1,1,1,1,1,1,1,8,8,10,5,2,2,2,3,2,2,2,2,2
12/4/2021 1:19:28,000490856,6,4,4,1,1,2,10,10,10,1,1,2,6,1,7,4,8,9,3,4,4
12/4/2021 18:33:25,000473763,1,1,1,2,1,2,2,5,1,1,3,1,1,2,6,4,6,9,10,8,8
12/4/2021 18:36:01,494719,5,5,1,1,1,1,10,10,10,3,1,1,10,1,1,1,1,1,1,1,1
12/4/2021 23:39:00,000464366,9,9,9,9,9,8,8,8,10,10,5,1,1,1,1,8,7,7,1,2,2
12/4/2021 23:42:34,000474751,1,1,1,2,1,1,1,3,1,1,2,1,2,10,8,1,2,1,1,1,1
12/4/2021 23:43:27,493621,1,1,1,1,1,1,1,5,10,10,10,10,10,5,5,1,5,5,1,1,1
12/5/2021 0:47:05,000494191,2,2,2,2,1,2,3,3,6,6,9,8,7,4,3,3,3,2,2,5,5
12/5/2021 4:10:51,459733,10,8,6,10,8,6,9,7,5,8,7,5,8,9,6,8,5,5,3,9,7
12/5/2021 4:18:37,000459926,10,10,8,8,1,6,6,6,2,2,2,2,2,1,1,1,1,1,1,1,1
12/5/2021 16:03:11,000393628,2,1,3,2,3,4,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10
